eventType_Index,type_Index,IssueName_Index,sceneID_Index
1,일반,가짜 나노 치료제 불법 시술,sceneID_1
1,긴급,긴 가뭄으로 인한 흉작 위험,sceneID_2
2,긴급,거리 순찰 로봇 부품 도난 사건,sceneID_3
2,일반,보육원 아이 실종 사건,sceneID_4
2,긴급,하늘철 열차 강도,sceneID_5
1,긴급,폭발 사건 용의자 신문,sceneID_6
1,일반,목욕탕에서 비누 훔치다 걸린 좀 도둑,sceneID_7
2,긴급,도시 한 가운데 집단 구타,sceneID_8
2,일반,산책 중 애완 로봇 실종,sceneID_9
1,긴급,불법 바이오 칩 판매 기승,sceneID_10
2,긴급,율현 고등학교 학생 자살,sceneID_11
1,긴급,노숙자 파벌 싸움,sceneID_12
2,긴급,중년 남성의 길거리 분신 자살,sceneID_13
1,긴급,아이 로봇 인형 도난 사건,sceneID_14
2,일반,신기술 개발 기자 회견,sceneID_15
2,일반,불량 로봇 집중 조사,sceneID_16
1,일반,일자리 센터 난동 사건,sceneID_17
2,일반,하늘 택시 교통 사고 ,sceneID_18
2,긴급,NG 대기업 부사장 법정 논란,sceneID_19
2,긴급,모찌 코인 주식 폭락,sceneID_20
1,일반,전자동 편의점 도둑,sceneID_21
2,일반,테마 파크에서 로봇 폭발,sceneID_22
1,일반,자기 부상 열차에 노숙자 급증,sceneID_23
1,일반,마트 식량 절도 사건,sceneID_24
1,긴급,대기업 스폰 계약 진행,sceneID_25
1,긴급,삼성 아파트 부부 싸움 중 아내 사망,sceneID_26
1,긴급,경한 기업 지하 주차장 폭파 사건,sceneID_27
1,봉쇄,신규 바이오 칩 개발 발표,sceneID_28
1,봉쇄,시민 폭동 시위 사태,sceneID_29
