L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,023.daechidongOffice,null,null,null,0,2.1,2,0,FALSE,FALSE,FALSE,FALSE
Lee03,null,0,이지은,null,어딜 갔다가 이제야 오는 걸까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Zhang01,null,0,미스터 장,null,즐거운 곳이라도 가셨나 봅니다? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang03,null,0,강원진,null,……? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,예사롭지 않은 인물인 걸 눈치채려면 얼마나 걸리려나. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,원진씨는 여전히 눈치가 없는 걸까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang03,Lee03,2,강원진,null,미스터 장…되십니까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Zhang03,1,미스터장,null,아…예. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Zhang03,1,미스터장,null,이렇게 인사 드립니다. ,null,13.SpeakWtihWaltzDance,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Zhang03,2,강원진,null,여길 어떻게……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee03,Zhang04,2,이지은,null,우리 차에다가 위치추적기를 달았다지? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee03,Zhang04,2,이지은,null,이건 내 실수가 아닐런지 몰라. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang04,2,강원진,null,……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang04,2,강원진,null,저희에게 협조하실 의향이 있으신 겁니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang03,1,미스터장,null,뒷북 치면 재미없어요. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang03,1,미스터장,null,소리도 앞에서 쳐야 청량한 법이야. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee03,Zhang03,2,이지은,null,이 분이 바이오칩 사건은 경한기업의 과실이 맞다 하시네. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
Lee03,Zhang03,2,이지은,null,정말 이 분 말대로 뒷북치면 재미있는 줄 아는 걸까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang03,2,강원진,null,증빙할 수 있는 자료는 있습니까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang04,1,미스터 장,null,"그것도, 다 넘겨드렸지. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang02,Zhang04,2,강원진,null,저희에게 협조하시는 의향이 무엇입니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
