L_chrImg_Index,R_chrImg_Index,Shadow_Index,talk_name_Index,CGImg_Index,Talk_Index,soundEff_Index,BGM_Index,ShakingEff_Index,wait_Index,fadeIn_Index,fadeOut_Index,fadeIn_quick_Index,fadeOut_quick_Index,RedFlash_Index,whiteFlash_Index
null,null,0,,007.DarkSlumCity,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,32.Attack1,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,,null,null,32.Attack2,null,0,1.1,0,0,FALSE,FALSE,FALSE,FALSE
null,null,0,중년 남성,null,어어억! ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,"어어, 잠깐, 그러다 전치 6주라도 나오면 어쩌려고? ",null,07.Ladybug,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,그렇게 과격하게 제압하면 큰 일 날텐데? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,매뉴얼 내에 속해있는 범주입니다. ,null,null,0,2.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,정도가 심하지 않나 싶은데? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,현행법상 정당방위입니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,글쎄…그게 문제가 아닐텐데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,이러다 문제 생기면 형사씨 문제로 끝나는 게 아니라니까. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,막무가내로 활동하면 답 없어. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,문제시 되는 사항이 있을 시 법으로 해결하겠습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,만일 형사씨 마음대로 해결되지 않는다면. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,1,이지은,null,그 때는 어쩔 생각이신지 묻고싶네? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,현행법 및 경찰공무원 지시사항에서 이탈한 사항이 없습니다.,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee01,2,강원진,null,기타 의문 사항은 정식적으로 경찰청에 보고 드리심이 맞다고 생각됩니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,같이 일 못 해먹겠네. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,정말 막막하네. 대체 어디서 부터 잘못된 건지 감이 안잡히네? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,2,강원진,null,잘못된 점을 파악해서 명확히 설명 시 추후부터 시정하겠습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,댁이 좋아하는 위험사항 제거는 잘 알겠는데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,"아니지, 별로 의미가 없는 대화야. 영양가가 없네요. ",null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,그 잘나신 매뉴얼이 얼마나 확고하실까? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,2,강원진,null,일부 오차율을 빼고는 정확한 판단이었습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,……. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,2,강원진,null,…………. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,너무 확고하셔서 뭐라 할 말이 없네. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,이렇게 일방적으로 활동하시려면 혼자 일 해보는 건 어떨까 생각이 드는데. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,형사씨 생각은 어때요? ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,2,강원진,null,지시사항으로는 2인1조 행동이었습니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,2,강원진,null,지시 위반은 조직 체계 질서에 혼란을 줍니다. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
gang01,Lee03,1,이지은,null,…………. ,null,null,0,0.1,0,0,FALSE,FALSE,FALSE,FALSE
